NCBITaxID,DOI,isomer_ID
9598,10.1021/pr1009367,3_1_0_0_0g
9923,10.1021/acs.analchem.0c00342,3_1_0_0_0a
9606,10.1021/pr1009367,3_1_1_0_0j
9685,10.1371/journal.pone.0243323,5_2_0_0_0e
1446311,10.1111/j.1740-0929.2010.00787.x,2_0_0_0_1a
9923,10.1021/acs.jafc.1c05872,4_3_0_0_0a
30588,10.1021/pr1009367,5_4_0_0_0a
9515,10.1016/s0742-8413(99)00080-8,2_0_0_1_0a
39304,10.1016/j.cbpc.2003.12.009,5_3_2_0_0l
9923,10.1017/S0007114513003772,1_1_0_1_0a
9615,10.1371/journal.pone.0243323,3_0_0_1_0g
9606,10.1016/bs.accb.2015.08.002,5_3_1_1_0b
9606,10.4052/tigg.1734.1SE,6_4_1_0_0e
30588,10.1021/pr1009367,3_1_0_0_0n
9913,10.1093/glycob/cwt007,3_1_0_0_0f
29073,10.1016/s0304-4165(00)00103-3,6_2_0_0_0a
9940,10.1021/acs.jafc.1c05872,4_1_0_0_0g
9825,10.1021/acs.jafc.6b00497,3_1_1_0_0b
9483,10.1021/pr1009367,3_1_0_0_0j
9825,10.1017/S0007114513003772,3_1_0_0_0c
9923,10.1016/j.smallrumres.2013.03.014,3_0_0_1_0h
9923,10.1021/acs.jafc.6b05104,2_1_0_0_0l
9783,10.1016/j.cbpa.2006.08.001,2_0_1_1_0a
9279,10.1007/s10719-015-9600-z,5_1_0_0_0b
9606,10.1021/jf0615810,5_3_4_0_0c
9595,10.1021/pr1009367,3_1_0_0_0i
9793,10.1016/j.lwt.2019.108437,4_1_0_1_0e
9606,10.1021/acs.analchem.0c00342,2_1_0_0_0c
9838,10.1017/S0007114513003772,2_0_0_0_2b
9913,10.1021/acs.jafc.8b01041,3_1_0_1_0c
9315,10.1007/s10719-012-9372-7,4_0_0_1_0a
1446311,10.1021/acs.analchem.0c00342,3_1_1_0_0e
9913,10.1017/S0007114513003772,3_2_0_0_0a
9913,10.1017/S0007114513003772,3_0_0_2_0a
9597,10.1007/978-1-4615-1371-1_40,3_1_2_0_0b
9913,10.1093/glycob/cwt007,3_1_1_0_0h
9483,10.1021/pr1009367,7_5_0_0_0b
9796,https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/5148,2_0_0_1_0a
9796,10.1002/2211-5463.12460,3_1_0_0_0h
9913,10.1021/acs.jafc.8b01041,2_0_1_0_0b
9923,10.1021/acs.analchem.0c00342,7_0_0_0_0a
9595,10.1021/pr1009367,4_2_0_0_0l
9837,10.1021/acs.jafc.1c05872,5_1_1_0_0a
9913,10.3390/dairy1030019,1_1_0_1_0a
9615,10.1371/journal.pone.0243323,2_0_2_0_0c
9923,10.1021/acs.analchem.0c00342,2_0_0_0_1b
9923,10.1016/s0305-0491(96)00269-6,2_0_0_1_0b
9606,10.4052/tigg.1734.1SE,5_3_2_1_0f
9825,10.3389/fnut.2016.00039,2_0_1_0_0a
9783,10.1017/s0007114599001798,3_1_1_0_0a
9913,10.1093/glycob/cwt007,4_1_0_0_0a
9923,10.1016/J.SMALLRUMRES.2015.11.002,2_0_0_1_0b
9923,10.1021/acs.jafc.6b05104,2_2_0_0_0e
9598,10.1021/pr1009367,2_0_1_0_0a
9913,10.1021/acs.analchem.0c00342,3_0_0_2_0e
9606,10.1021/pr1009367,6_4_1_1_0a
9615,10.1371/journal.pone.0243323,2_0_1_0_0a
30588,10.1021/pr1009367,3_2_0_1_0b
39293,10.1016/j.ab.2009.03.004,6_4_2_0_0d
9606,10.1021/pr1009367,4_2_1_0_0r
9595,10.1021/pr1009367,2_1_0_0_0l
9590,10.1021/pr1009367,4_2_0_1_0a
9923,10.1016/j.idairyj.2005.02.003,4_0_0_1_0b
9923,10.1016/j.chroma.2015.09.060,5_0_0_0_0d
9600,10.1007/978-1-4615-1371-1_40,3_1_2_0_0b
9825,10.1002/elps.201500471,1_1_0_1_0c
38626,10.1007/s10719-013-9484-8,3_0_0_1_0e
9837,10.3168/jds.2010-3151,2_0_0_1_0a
9923,10.1016/j.carbpol.2020.115965,3_2_0_0_0f
9923,10.1016/j.carbpol.2020.115965,3_0_0_2_0b
378754,10.1016/s0304-4165(99)00134-8,6_2_3_0_0a
9606,10.1021/jf0615810,3_2_0_1_0b
9590,10.1093/glycob/cwp006,3_1_0_0_0b
9838,10.1017/S0007114513003772,2_1_0_0_0a
9825,10.3389/fnut.2016.00039,2_0_0_1_0a
9258,10.1007/BF01050469,3_1_2_0_0c
9825,10.1002/elps.201500471,2_0_0_1_0b
9483,10.1021/pr1009367,4_1_0_0_0m
9913,10.1021/acs.jafc.1c05872,2_1_0_2_0a
9606,10.1021/jf0615810,5_2_1_0_0b
9913,10.1016/j.idairyj.2020.104727,3_1_0_0_0a
9598,10.1021/pr1009367,3_1_0_0_0i
9913,10.1021/jf300015j,3_0_0_1_0h
9825,10.1021/acs.jafc.6b00497,3_1_0_1_0c
